,date,time_str,time_passed,event,elev_spec,elev_calc,lat,lon,dist
0,2024-03-23 11:53:00,11:53,0,出発,1400,1398.0846245735884,33.867048940002284,134.08940105944947,0.0
1,2024-03-23 11:57:00,11:57,4.0,登山道出会い,1390,1397.4504499351606,33.86784108427037,134.089720918515,92.7152291584513
2,2024-03-23 12:10:00,12:10~12:21,13.0,着衣レスト,1460,1477.1843014732003,33.8657982874394,134.0900044936335,228.10116279975395
3,2024-03-23 12:23:00,12:23,2.0,分岐,1490,1488.4072159864008,33.86558234084971,134.08978055620977,31.671632994990787
4,2024-03-23 12:51:00,12:51,28.0,分岐,1680,1668.3439005631953,33.86075440728325,134.09070705473613,542.3330164871676
5,2024-03-23 12:57:00,12:57~13:15,6.0,サイトマネージ,1690,1693.5136784017086,33.860390073454546,134.09170920617055,101.15736681820319
6,2024-03-23 13:20:00,13:20,5.0,サイトワーク開始,1710,1718.9420299977064,33.86025963820798,134.0922427506356,51.44808620073841
7,2024-03-23 16:49:00,16:49,209.0,いただきます,1710,1713.0430161822587,33.86030905048502,134.09241868371646,17.17791963517961
8,2024-03-23 17:25:00,17:25,36.0,ごちそうさま,1710,1713.0430161822587,33.86030905048502,134.09241868371646,0.0
9,2024-03-23 18:00:00,18:00,35.0,ミーティング開始,1710,1713.0430161822587,33.86030905048502,134.09241868371646,0.0
10,2024-03-24 03:59:00,03:59,599.0,いただきます,1710,1704.068748474121,33.86049242667698,134.09236038344466,21.043350330504943
11,2024-03-24 04:12:00,04:12,13.0,ごちそうさま,1710,1704.068748474121,33.86049242667698,134.09236038344466,0.0
12,2024-03-24 04:32:00,04:32,20.0,出発,1710,1711.4930738974363,33.860179423106025,134.09241588518404,35.09613552206719
13,2024-03-24 04:41:00,04:41,9.0,分岐,1720,1720.4092194400728,33.86004979478869,134.09256755368625,20.092595163601242
14,2024-03-24 04:48:00,04:48,7.0,分岐,1760,1748.6476003360003,33.85931778547559,134.09309934016488,94.94267245255108
15,2024-03-24 04:58:00,04:58,10.0,分岐,1800,1806.6297788014635,33.85874831103789,134.09443104608695,138.47788960156655
16,2024-03-24 04:58:00,04:58~05:03,0.0,脱衣レスト,1800,1806.6297788014635,33.85874831103789,134.09443104608695,0.0
17,2024-03-24 05:12:00,05:12~05:17,9.0,衛生レスト,1870,1864.6645642565563,33.857547664952925,134.0954074554519,160.93394437581176
18,2024-03-24 05:34:00,05:34,17.0,剣山ヒュッテ着,1940,1940.2694857064635,33.855451810694476,134.09593306268096,237.5056131852708
19,2024-03-24 05:37:00,05:37~05:42,3.0,レスト1,1940,1945.3042136179283,33.85530002571634,134.09605402808026,20.21783866480362
20,2024-03-24 05:50:00,05:50,8.0,剣山山頂着,1950,1953.8584409402683,33.853914007840416,134.0945297719974,208.6437717943424
21,2024-03-24 06:11:00,06:11,21.0,分岐,1800,1810.2965356074274,33.85080420943134,134.09112441705153,467.2251615413897
22,2024-03-24 06:30:00,06:30,19.0,分岐,1780,1785.9019949352369,33.847096369981905,134.08724155667167,546.148310904357
23,2024-03-24 06:31:00,06:31~06:36,1.0,レスト2,1790,1785.9019949352369,33.847096369981905,134.08724155667167,0.0
24,2024-03-24 07:32:00,07:32~07:37,56.0,レスト3,1630,1635.5188676295802,33.84420315885774,134.07386238833033,1279.1716965456565
25,2024-03-24 07:42:00,07:42,5.0,分岐,1590,1605.16861965321,33.84358551045403,134.0722539949569,163.87043356066067
26,2024-03-24 08:01:00,08:01,19.0,丸石着,1670,1674.9003864461556,33.84099341611929,134.06508683518203,722.9852463392075
27,2024-03-24 08:33:00,08:33,32.0,奥祖谷二重かずら橋分岐,1580.0,1588.8176799388602,33.83689527391852,134.05478845798615,1056.0437330987154
28,2024-03-24 08:46:00,08:46~08:51,13.0,着衣レスト,1600,1598.4275240190327,33.83512803227713,134.0503361351519,456.35916666647904
29,2024-03-24 09:18:00,09:18~09:23,27.0,レスト4,1640,1622.9936037622392,33.83420729835072,134.0428166112615,703.4851381815114
30,2024-03-24 09:54:00,09:54,31.0,高ノ瀬,1741.0,1739.8564295005053,33.834670480271306,134.03887383144303,368.5564208715
31,2024-03-24 09:56:00,09:56~10:01,2.0,レスト5,1741.0,1739.4797897683457,33.834471716384584,134.0385232940947,39.22837429417336
32,2024-03-24 10:25:00,10:25,24.0,石立分岐,1738,1728.3569237682968,33.828442956860385,134.0334056504262,819.5012798101623
33,2024-03-24 10:40:00,10:40~10:51,15.0,レスト6,1700,1706.3503265148029,33.82741667645331,134.02731658615707,575.0483111554179
34,2024-03-24 11:29:00,11:29~11:34,38.0,レスト7,1640,1659.0869648717344,33.823062980526736,134.01602802584182,1151.2045178104734
35,2024-03-24 11:44:00,11:44,10.0,平和丸,1700.9,1697.637512119487,33.821873638365965,134.01302143973993,308.019300396205
